Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2018-05-02,NIFTY,2018-05-31,CE,10000.0,804.5,804.5,714.0,748.6,748.85,748.6,680,548978000.0,38978000.0,722700,-27375,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10000.0,12.95,16.8,12.75,14.25,14.0,14.25,17641,13249853000.0,19103000.0,2613675,-29775,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10050.0,0.0,0.0,0.0,620.0,620.0,722.65,0,0.0,0.0,75,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10050.0,16.6,18.7,14.7,15.55,15.25,15.55,681,514130000.0,826000.0,15225,4500,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10100.0,708.1,708.1,627.55,647.95,649.0,647.95,60,48439000.0,2989000.0,193275,-1575,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10100.0,15.7,20.7,15.45,17.15,16.5,17.15,17935,13609064000.000002,23301000.0,1424925,31725,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10150.0,0.0,0.0,0.0,488.0,488.0,626.0,0,0.0,0.0,150,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10150.0,20.2,23.9,18.3,19.85,19.35,19.85,752,573610000.0,1150000.0,31875,7950,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10200.0,615.2,615.2,526.75,549.95,557.75,549.95,309,249555000.00000003,13169999.999999998,415275,-9900,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10200.0,20.0,27.9,20.0,23.3,22.35,23.3,29971,22980855000.0,53040000.0,2032050,-63450,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10250.0,0.0,0.0,0.0,489.55,489.55,531.85,0,0.0,0.0,1500,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10250.0,27.3,32.5,25.3,27.7,26.4,27.7,1311,1010582000.0,2750000.0,36525,600,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10300.0,505.0,505.0,438.2,461.55,467.0,461.55,293,236669000.0,10326000.0,673050,-4275,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10300.0,25.0,38.65,21.15,32.45,31.5,32.45,39432,30556978999.999996,95759000.0,2588250,-143325,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10350.0,436.0,444.15,419.85,419.85,419.85,419.85,3,2426000.0,98000.0,2400,-75,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10350.0,29.9,44.95,29.9,38.4,37.85,38.4,1165,907620999.9999999,3290000.0,54525,-6750,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10400.0,437.3,437.3,353.25,376.8,380.0,376.8,1224,990361000.0,35641000.0,689475,-7500,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10400.0,36.5,52.8,36.5,45.0,43.1,45.0,45465,35614535000.0,151835000.0,3211050,89550,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10450.0,353.0,363.6,331.0,331.0,331.0,331.0,9,7290000.000000001,236000.0,5400,-150,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10450.0,47.95,62.0,47.85,53.45,52.3,53.45,1355,1067445000.0000001,5464000.0,122625,7875,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10500.0,344.05,344.05,275.0,293.4,298.0,293.4,4572,3705700000.0,105250000.0,1032225,-14250,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10500.0,56.5,73.45,54.15,62.5,60.8,62.5,86420,68453907999.99999,398158000.0,4569450,819300,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10550.0,371.45,371.45,250.0,261.4,263.0,261.4,158,128317000.0,3299000.0,24600,75,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10550.0,66.6,86.0,66.35,73.85,71.15,73.85,3091,2462907000.0,17154000.0,176325,-19125,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10600.0,249.95,259.85,205.8,223.35,226.05,223.35,15041,12221555000.0,263960000.0,1599600,-78525,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10600.0,75.3,102.0,69.85,88.25,85.5,88.25,79709,63885691000.0,517035999.99999994,3324975,140325,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10650.0,218.2,299.65,174.0,192.05,195.1,192.05,1160,943975000.0,17425000.0,156525,4950,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10650.0,95.55,118.65,92.45,103.15,101.2,103.15,3755,3028050000.0,28744000.0,118575,-13650,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10700.0,185.05,189.7,143.0,159.7,160.0,159.7,56573,46112844000.0,713011000.0,2244600,-38475,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10700.0,104.1,138.9,98.35,121.35,118.75,121.35,101514,82367710000.0,902725000.0,2156175,333600,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10750.0,158.5,175.3,117.4,132.05,132.0,132.05,8561,6991914999.999999,89609000.0,207375,64425,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10750.0,122.65,160.25,122.65,143.05,138.15,143.05,7474,6103097000.0,77185000.0,126375,3075,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10800.0,130.0,130.0,93.25,105.7,106.9,105.7,96115,78663489000.0,810339000.0,3424425,269325,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10800.0,145.1,186.45,138.9,166.05,163.0,166.05,39567,32525290999.999996,476021000.0,926325,-23625,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10850.0,101.2,102.6,73.4,83.15,83.25,83.15,5773,4736493000.0,38715000.0,108150,20775,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10850.0,198.6,212.05,168.7,190.7,188.8,190.7,315,260644000.0,4312000.0,12075,2625,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10900.0,75.7,82.05,55.2,63.45,64.9,63.45,82691,68024686000.0,424793000.0,2766975,177150,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10900.0,185.9,247.35,185.9,224.25,220.0,224.25,7113,5929499000.0,114621000.0,667725,-36450,10718.05
2018-05-02,NIFTY,2018-05-31,CE,10950.0,59.0,60.65,41.5,47.6,48.25,47.6,3094,2552891000.0,11943000.0,72450,-4950,10718.05
2018-05-02,NIFTY,2018-05-31,PE,10950.0,0.0,0.0,0.0,521.8,0.0,248.5,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11000.0,42.95,46.1,30.2,34.85,35.35,34.85,94624,78334625000.0,269825000.0,6034875,351000,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11000.0,255.2,318.0,255.2,293.05,285.9,293.05,4272,3614354000.0,89954000.0,1072875,-49275,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11050.0,32.0,34.6,22.45,25.15,25.9,25.15,2255,1873484999.9999998,4654000.0,84825,10425,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11050.0,0.0,0.0,0.0,591.5,0.0,321.9,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11100.0,21.85,23.35,15.85,18.0,17.95,18.0,44739,37310481000.0,65263000.0,1163625,-44700,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11100.0,340.1,401.0,335.0,375.1,369.45,375.1,554,476146000.0,14941000.0,107100,5625,10718.05
