Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-February-2008,212.00,212.20,202.30,205.40,207.642710166803807987,1835090,5952,381043061.00,1396402,76.09,9.90,-6.60
20-February-2008,203.50,204.20,199.00,201.70,200.957275919883608478,586297,3437,117820648.00,355661,60.66,5.20,-1.80
21-February-2008,203.25,205.00,199.00,201.30,200.401418130249809097,1329215,3075,266376571.00,1119230,84.20,6.00,-1.95
22-February-2008,200.70,202.00,199.60,200.10,200.389188721322159200,196406,1846,39357639.00,94413,48.07,2.40,-0.60
25-February-2008,203.00,205.00,200.25,201.95,202.545015904159607188,399581,3987,80933140.00,143809,35.99,4.75,-1.05
26-February-2008,203.00,203.45,200.25,201.25,201.422614530586714865,434862,2483,87591041.00,257537,59.22,3.20,-1.75
27-February-2008,202.25,203.50,197.60,201.75,200.683788650792274671,807422,4694,162036506.00,381636,47.27,5.90,-0.50
28-February-2008,201.10,203.80,200.50,202.00,201.984232536642164487,4500280,3359,908985602.00,4169368,92.65,3.30,0.90
29-February-2008,200.95,207.00,199.00,202.15,203.371559624708862840,3308578,10639,672870668.00,1701089,51.41,8.00,1.20
3-March-2008,198.40,198.40,190.00,193.00,193.369862329364685477,3062672,10921,592228463.00,1746743,57.03,8.40,-5.40
4-March-2008,192.00,194.90,182.50,184.85,190.414644126262545419,1999136,8291,380664770.00,1189239,59.49,12.40,-7.15
5-March-2008,184.70,195.05,182.30,194.25,190.553913547288240213,1689733,10964,321985236.00,565861,33.49,12.75,9.55
7-March-2008,191.00,194.95,187.00,190.75,190.781504085092561534,1317718,8179,251396222.00,548963,41.66,7.95,-0.25
10-March-2008,188.00,194.65,186.50,190.60,190.943326551839180464,917202,6080,175133601.00,352299,38.41,8.15,2.60
11-March-2008,191.50,194.80,189.00,192.40,191.622037815495558877,1421375,7056,272366774.00,608457,42.81,5.80,0.90
12-March-2008,195.00,196.90,189.60,190.35,192.230340950373972435,828537,5016,159269950.00,354632,42.80,7.30,-4.65
13-March-2008,190.00,190.00,181.60,185.45,185.815895407802493080,395976,5393,73578635.00,123981,31.31,8.40,-4.55
14-March-2008,190.00,192.75,186.10,191.95,190.382677763995038213,1749370,6976,333049745.00,870711,49.77,6.65,1.95
17-March-2008,188.00,190.80,183.00,185.90,187.912182662841282010,920866,4936,173041940.00,479545,52.08,7.80,-2.10
18-March-2008,186.00,189.65,180.60,183.25,186.260591489840012988,800690,6182,149136993.00,263988,32.97,9.05,-2.75
19-March-2008,186.10,189.60,185.30,187.40,187.322893497577377672,1764204,4554,330475798.00,1334221,75.63,4.30,1.30
24-March-2008,189.50,192.50,188.50,190.90,190.565241701012811910,688578,4379,131219033.00,406774,59.07,4.00,1.40
25-March-2008,194.00,194.80,189.75,191.10,192.432586190445900388,754608,4319,145211169.00,389490,51.61,5.05,-2.90
26-March-2008,193.30,196.70,190.10,195.10,193.678509466195146330,1052482,5797,203843145.00,583598,55.45,6.60,1.80
27-March-2008,195.00,202.00,193.65,200.05,198.780295414051934484,1118024,7758,222241141.00,572254,51.18,8.35,5.05
28-March-2008,200.10,207.70,200.05,206.30,204.855015170950077528,970605,9072,198833302.00,370366,38.16,7.65,6.20
31-March-2008,205.00,210.90,203.75,206.35,207.945160491492532609,1110495,6410,230922061.00,632926,56.99,7.15,1.35
1-April-2008,207.25,212.85,206.00,211.15,208.830548763621464188,676047,7411,141179266.00,287760,42.57,6.85,3.90
2-April-2008,214.50,217.00,204.70,208.10,210.061088183489541147,777810,6058,163387615.00,385566,49.57,12.30,-6.40
3-April-2008,208.00,210.50,206.00,208.00,208.479609784523430838,748202,4181,155984861.00,416578,55.68,4.50,0.00
4-April-2008,209.90,209.90,199.20,200.80,203.652473421499764389,1625562,7396,331049722.00,716710,44.09,10.70,-9.10
7-April-2008,202.00,214.00,201.15,210.30,209.720723664829747872,1272965,9816,266967141.00,495395,38.92,12.85,8.30
8-April-2008,210.00,211.15,206.35,208.30,208.426635687329085899,967957,6133,201748021.00,400875,41.41,4.80,-1.70
9-April-2008,207.20,208.15,203.70,207.35,206.096056773388537560,423156,4132,87210783.00,134596,31.81,4.45,0.15
10-April-2008,205.00,209.65,205.00,207.95,207.965736970554312987,941598,4361,195820122.00,490472,52.09,4.65,2.95
11-April-2008,207.80,208.50,203.25,204.15,205.377601535776927057,892838,4273,183368927.00,535147,59.94,5.25,-3.65
15-April-2008,202.05,209.40,202.05,207.95,207.286622529323874914,684681,4944,141925212.00,309127,45.15,7.35,5.90
16-April-2008,209.00,210.80,207.20,210.05,209.190049352125311483,927417,4234,194006408.00,491526,53.00,3.60,1.05
17-April-2008,212.50,212.90,209.70,211.05,211.027667587334244606,567704,2693,119801251.00,321878,56.70,3.20,-1.45
